230,Henry Martin,29,Delantero centro,Mexicano,No convocado
231,Rogelio Funes Mori,31,Delantero centro,Mexicano,No convocado
232,Santiago Gimenez,21,Delantero centro,Mexicano,No convocado
233,Matt Turner,28,Portero,Estado Unidense,No convocado
234,Sean Johnson,33,Portero,Estado Unidense,No convocado
235,Ethan Horvath,27,Portero,Estado Unidense,No convocado
236,Walker Zimmerman,29,Defensa central,Estado Unidense,No convocado
237,Mark McKenzie,23,Defensa central,Estado Unidense,No convocado
238,Aaron Long,30,Defensa central,Estado Unidense,No convocado
239,Erik Palmer Brown,25,Defensa central,Estado Unidense,No convocado
240,Sam Vines,23,Lateral izquierdo,Estado Unidense,No convocado
241,Sergino Dest,21,Lateral derecho,Estado Unidense,No convocado
242,Joe Scally,19,Lateral derecho,Estado Unidense,No convocado
243,Reggie Cannon,24,Lateral derecho,Estado Unidense,No convocado
244,DeAndre Yedlin,29,Lateral derecho,Estado Unidense,No convocado
245,Tyler Adams,23,Pivote,Estado Unidense,No convocado
246,Kellyn Acosta,27,Pivote,Estado Unidense,No convocado
247,Weston McKennie,24,Mediocentro,Estado Unidense,No convocado
248,Luca De La Torre,24,Mediocentro,Estado Unidense,No convocado
249,Johnny,21,Mediocentro,Estado Unidense,No convocado
250,Giovanni Reyna,19,Mediocentro ofensivo,Estado Unidense,No convocado
251,Brenden Aaronson,22,Mediocentro ofensivo,Estado Unidense,No convocado
252,Malik Tillman,20,Mediocentro ofensivo,Estado Unidense,No convocado
253,Jordan Morris,28,Extremo izquierdo,Estado Unidense,No convocado
254,Paul Arriola,27,Extremo derecho,Estado Unidense,No convocado
255,Josh Sargent,22,Delantero centro,Estado Unidense,No convocado
256,Ricardo Pepi,19,Delantero centro,Estado Unidense,No convocado
257,Jesus Ferreira,21,Delantero centro,Estado Unidense,No convocado
258,Andre Onana,26,Portero,Camerunes,No convocado
259,Devis Epassy,29,Portero,Camerunes,No convocado
260,Simon Ngapandouetnbu,19,Portero,Camerunes,No convocado
261,Christopher Wooh,21,Defensa central,Camerunes,No convocado
262,Jean Charles Castelletto,27,Defensa central,Camerunes,No convocado
263,Nicolas N Koulou,32,Defensa central,Camerunes,No convocado
